graph_1,graph_2
0,1819
0,1449
0,1773
0,1542
0,1800
0,778
0,1549
0,272
0,17
0,790
0,24
0,1561
0,1307
0,541
0,30
0,389
0,1587
0,1319
0,40
0,1321
0,42
0,1442
0,1714
0,1838
0,1327
0,1329
0,562
0,435
0,52
0,54
0,56
0,826
0,829
0,1086
0,1344
0,1654
0,1095
0,1354
0,1719
0,845
0,590
0,1720
0,1107
0,1110
0,1209
0,88
0,602
0,1371
0,349
0,354
0,100
0,1125
0,1809
0,104
0,1897
0,618
0,1133
0,1390
0,1373
0,1512
0,1138
0,627
0,372
0,1653
0,118
0,1144
0,1405
0,382
0,1368
0,130
0,388
0,133
0,647
0,1672
0,1418
0,1675
0,653
0,1166
0,1517
0,1168
0,1304
0,1682
0,1427
0,661
0,406
0,152
0,921
0,410
0,1948
0,1181
0,1694
0,161
0,162
0,931
0,1946
0,1642
0,422
0,1446
0,681
0,1706
0,1479
0,1453
0,942
0,413
0,1201
0,434
0,947
0,1461
0,1463
0,184
0,441
0,955
0,1468
0,1984
0,1987
0,708
0,453
0,1953
0,1527
0,205
0,1998
0,1187
0,212
0,469
0,727
0,1925
0,226
0,227
0,1253
0,1256
0,1003
0,236
0,1005
0,1277
0,1008
0,808
0,498
0,1841
0,245
0,1065
0,761
0,1786
0,765
0,510
1,609
1,1827
1,646
1,698
1,520
1,1641
1,1351
1,1053
1,851
1,104
1,627
1,372
1,1973
1,1321
1,1524
1,250
1,1788
1,541
1,382
1,1469
2,1248
2,225
2,1861
2,807
2,809
2,684
2,1774
2,879
2,852
2,630
2,1792
2,153
2,1626
2,1423
2,1502
3,1378
3,1479
3,808
3,618
3,1003
3,1324
3,845
3,1934
3,584
3,434
3,1561
3,761
3,955
3,1066
3,426
4,609
4,717
4,1789
4,903
4,520
4,1149
4,1295
4,1425
4,627
4,382
4,374
4,605
4,1109
4,698
4,1275
4,668
4,1853
4,1982
4,1531
5,1792
5,1861
5,652
5,1423
5,852
5,153
5,1626
5,1882
5,1502
5,1248
5,225
5,807
5,1182
5,809
5,1389
5,1774
5,879
5,243
5,885
5,630
5,951
5,634
5,1212
6,1792
6,643
6,391
6,525
6,718
6,1423
6,723
6,852
6,1560
6,409
6,1626
6,219
6,1248
6,225
6,879
6,807
6,298
6,1863
6,684
6,1583
6,1591
6,490
6,1743
7,733
7,646
7,520
7,1053
7,1745
7,978
7,851
7,1818
7,250
7,609
7,1827
7,104
7,1641
7,541
7,627
7,372
7,1973
7,1321
7,1524
7,698
7,1338
7,1469
7,382
8,260
8,1286
8,520
8,521
8,10
8,524
8,271
8,273
8,18
8,275
8,532
8,345
8,541
8,800
8,1317
8,39
8,1321
8,299
8,302
8,1071
8,1328
8,1749
8,350
8,1848
8,1034
8,1093
8,1602
8,323
8,324
8,1349
8,1351
8,77
8,1872
8,1105
8,1733
8,1875
8,86
8,1369
8,1295
8,1597
8,1630
8,1742
8,609
8,1853
8,1041
8,362
8,1391
8,368
8,1906
8,1555
8,374
8,121
8,1914
8,1149
8,382
8,1664
8,1409
8,1978
8,1904
8,903
8,1933
8,1679
8,1425
8,665
8,155
8,668
8,837
8,1441
8,1954
8,1196
8,945
8,627
8,693
8,1975
8,1977
8,698
8,159
8,1982
8,1824
8,197
8,1738
8,717
8,1486
8,1488
8,468
8,213
8,1135
8,1755
8,1758
8,1504
8,1250
8,1252
8,230
8,487
8,746
8,235
8,754
8,1764
8,1270
8,1023
8,1788
8,1237
9,1003
9,1095
9,584
9,845
9,1934
9,463
9,272
9,659
9,1561
9,1378
9,999
9,808
9,681
9,618
9,1479
9,1324
9,1442
9,1329
9,434
9,439
9,761
9,955
9,1066
9,426
10,1978
10,1349
10,1351
10,520
10,1933
10,1295
10,1041
10,1057
10,668
10,541
10,1093
10,609
10,1853
10,1904
10,627
10,1982
10,374
10,605
10,698
10,1019
10,1788
10,1149
10,382
11,1477
11,646
11,1022
11,730
11,1271
11,462
11,1745
11,274
11,851
11,1940
11,341
11,1818
11,733
11,1827
11,104
11,1641
11,978
11,541
11,627
11,372
11,1973
11,1078
11,1321
11,1524
11,250
11,1338
11,1469
11,382
12,257
12,898
12,1155
12,1739
12,519
12,648
12,523
12,269
12,429
12,840
12,913
12,1939
12,918
12,674
12,1096
12,1689
12,1562
12,1563
12,157
12,1310
12,671
12,289
12,802
12,1947
12,1700
12,1062
12,1457
12,1287
12,1638
12,1968
12,305
12,1842
12,611
12,1992
12,1077
12,566
12,1695
12,1434
12,1728
12,1475
12,1447
12,545
12,456
12,331
12,1229
12,1230
12,719
12,1234
12,595
12,983
12,472
12,1113
12,1231
12,348
12,1374
12,1892
12,224
12,97
12,1506
12,99
12,1431
12,229
12,1894
12,871
12,872
12,361
12,1898
12,745
12,1687
12,493
12,494
12,1010
12,499
12,1951
12,489
12,632
12,1379
13,1827
13,1477
13,1641
13,274
13,1163
13,1362
13,462
13,1469
13,1745
13,978
13,851
13,1524
13,1973
13,1818
13,1338
13,341
14,772
14,518
14,585
14,337
14,82
14,1407
14,1941
14,721
14,475
14,1139
14,1060
14,679
14,1002
14,1582
14,49
14,882
14,691
14,1013
14,890
14,1339
14,637
14,894
14,53
15,192
15,129
15,1922
15,903
15,1149
15,717
15,1295
15,1425
15,915
15,1109
15,86
15,825
15,668
15,609
15,1122
15,1531
15,1195
15,1853
15,627
15,374
15,121
15,698
15,1275
15,1276
15,1789
15,277
16,192
16,609
16,1149
16,1531
16,903
16,717
16,1853
16,1295
16,1425
16,627
16,1109
16,374
16,605
16,1922
16,698
16,1275
16,668
16,1789
16,1982
17,708
17,1479
17,584
17,236
17,845
17,1934
17,1066
17,1561
17,413
17,104
17,1442
17,1378
17,1095
17,808
17,681
17,618
17,1003
17,1324
17,562
17,1329
17,434
17,42
17,372
17,1144
17,761
17,1786
17,955
17,426
18,1093
18,1351
18,520
18,496
18,1933
18,1295
18,1041
18,1057
18,668
18,698
18,1349
18,609
18,484
18,1276
18,541
18,1149
18,1904
18,627
18,1982
18,374
18,605
18,1978
18,1019
18,1788
18,1853
18,382
19,609
19,1789
19,520
19,1149
19,1295
19,1425
19,627
19,1982
19,374
19,605
19,698
19,1275
19,668
19,1853
19,382
20,1479
20,584
20,845
20,1934
20,463
20,272
20,659
20,1366
20,1561
20,543
20,1378
20,999
20,808
20,681
20,618
20,1003
20,1324
20,562
20,1442
20,1329
20,434
20,439
20,761
20,1095
20,955
20,1066
20,426
21,618
21,1479
21,584
21,845
21,1934
21,1066
21,1561
21,1442
21,1378
21,1095
21,808
21,681
21,42
21,1003
21,1324
21,562
21,1329
21,434
21,372
21,1144
21,761
21,1786
21,955
21,426
22,1984
22,406
22,647
22,1786
22,778
22,790
22,921
22,1307
22,1181
22,1953
22,1442
22,104
22,1321
22,236
22,541
22,1329
22,562
22,372
22,382
22,1144
22,826
22,510
23,1792
23,225
23,219
23,643
23,807
23,298
23,1863
23,684
23,1583
23,723
23,852
23,1591
23,409
23,1626
23,1423
23,1743
24,1984
24,1442
24,227
24,647
24,104
24,1321
24,236
24,1329
24,562
24,435
24,372
24,1144
24,1561
24,1786
25,1537
25,386
25,899
25,1033
25,650
25,396
25,1677
25,399
25,1424
25,1557
25,278
25,151
25,537
25,1054
25,287
25,416
25,1697
25,1700
25,37
25,1961
25,1322
25,556
25,174
25,180
25,990
25,1846
25,567
25,1311
25,1084
25,189
25,958
25,1727
25,577
25,194
25,1220
25,1481
25,586
25,887
25,248
25,595
25,725
25,1886
25,1241
25,898
25,549
25,224
25,1505
25,98
25,1123
25,1636
25,106
25,491
25,1508
25,750
25,751
25,1552
25,1782
25,1015
25,1784
25,889
25,1404
25,1917
25,1663
26,1792
26,643
26,1863
26,525
26,718
26,1423
26,785
26,723
26,852
26,1731
26,153
26,409
26,1626
26,1583
26,1882
26,1248
26,225
26,1762
26,219
26,807
26,809
26,298
26,684
26,878
26,879
26,243
26,1591
26,634
26,1743
27,1792
27,225
27,879
27,243
27,643
27,807
27,1863
27,684
27,1248
27,718
27,1583
27,723
27,852
27,1591
27,409
27,1626
27,1423
27,525
27,634
27,1743
28,192
28,129
28,1922
28,837
28,903
28,717
28,77
28,1295
28,1425
28,277
28,86
28,121
28,668
28,609
28,1122
28,1531
28,1195
28,1853
28,374
28,825
28,698
28,1275
28,1789
28,1109
29,1792
29,225
29,643
29,1861
29,1423
29,1863
29,809
29,807
29,684
29,1248
29,1774
29,879
29,723
29,852
29,630
29,153
29,409
29,1626
29,1583
29,525
29,1743
30,708
30,618
30,1479
30,584
30,236
30,1934
30,1453
30,272
30,1066
30,1561
30,104
30,1442
30,227
30,808
30,681
30,426
30,1003
30,1324
30,562
30,1329
30,434
30,372
30,1321
30,1144
30,761
30,1786
30,955
30,42
31,224
31,577
31,898
31,1220
31,864
31,978
31,462
31,595
31,851
31,1973
31,1655
31,1636
31,1338
31,1435
31,541
31,341
32,577
32,386
32,491
32,1220
32,194
32,1655
32,1677
32,399
32,248
32,595
32,725
32,1636
32,1115
32,898
32,287
32,224
32,1435
32,1508
32,1835
32,1538
32,1205
32,1846
32,1015
32,1784
32,899
32,757
33,772
33,1736
33,585
33,721
33,82
33,1941
33,1174
33,890
33,1822
33,1060
33,358
33,679
33,1002
33,1490
33,1903
33,1013
33,1079
33,1402
33,1339
33,637
33,894
33,1407
34,609
34,1149
34,1531
34,520
34,717
34,1853
34,851
34,1425
34,627
34,605
34,382
34,374
34,1275
34,121
34,698
34,1295
34,668
34,1789
34,1982
34,1109
